alcohol	strength
36.2	10.0
39.7	10.0
39.5	10.8
18.2	12.2
29.2	13.1
32.5	14.0
13.2	15.5
14.8	15.5
28.6	15.2
30.8	15.2
34.5	15.2
39.7	15.5
28.3	16.2
34.5	16.2
40.3	16.2
19.1	17.9
27.7	18.2
40.8	18.2
17.7	19.1
22.8	18.8
28.3	19.3
4.0	20.9
5.2	20.9
11.7	20.9
12.5	20.9
13.7	20.9
15.7	20.9
17.4	20.9
18.9	21.1
20.0	21.1
32.3	21.2
3.5	22.3
9.8	22.1
14.0	21.8
18.3	22.2
19.7	22.2
29.8	23.3
9.7	23.9
11.1	24.0
32.9	24.1
10.8	25.1
14.0	25.1
17.5	25.1
12.6	26.2
22.6	26.3
5.2	28.2
9.4	28.2
13.5	28.4
19.1	28.2
7.4	29.5
