Height	momheight	dadheight
66	66	71
64	62	68
64	65	70
69	66	76
66	63	70
63	61	68
68	64	69
65	62	66
64	70	73
65	70	75
66	63	70
68	68	69
66	60	77
60	61	65
60	59	62
60	62	63
64	60	72
70	62	74
64	61	70
63	61	70
61	60	67
69	65	68
63	64	65
66	66	66
65	64	70
64	62	68
66	64	73
65	61	67
63	60	67
63	64	74
65	62	75
66	64	70
67	64	70
67.5	69	69
62	60	60
64	63	74
63	62	68
64	62	69
63	58	74
62.5	65	71.5
65	64	72
66.5	63	74
69.5	66	72
63.5	60	67
69	64	74
67	63	72
67	66	70
67	69	66
67	65	68
67	63	71
63	60	69
63	61	67
60	60	66
63	68	75
65.5	62	71
66	63	72
68	67	70
65	62	67
65	63.5	69
66	67	70
62	63	69
66	65	68
67	64	71
63	61	70
66	60	69
67	62	71
61	63	69
62	60	68
63.5	62	63
61	62	65
64	61	63
61	65	69
61	64	68
63	61	72
62	62	72
64	64	74
64	62	68
65	66	73
64	61	67
59	60	64
65	67	68
63	65	68
64.5	62	66.5
64	63	71
70	62	76
60	61	65
69	68	73
62	63	68
65	69	72
64	62	66
64	64	70
66	61	70
63	62	68
67	68	69
60	60	68
68	67	72
67	70	76
66	60	71
67	68	72
65	64	70
61	64	64
64	63	72
68	64	71
64	63	71
65.5	62	70
67	66	70
67	69	74
62.5	65.5	68
62	61	65
62	57	65
64	62	63
66	66	73
65	64	67
67	65	70
64.5	66	70
70	65	77
63	56	62
65	64	71
60	64	69
69	64	75
64	63	67
62	62	66
63	62	65
64	69	70
62	62	68
72	65	72
63	60	69
67	69	66
68	64	67
72	70	76
59.5	59	65
65	70	70
68	60	70
61	59	67
66	64	69
62.5	67	71.5
65	62	70
65	63	70
63	61	65
70	68	71
64	64	67
63	65	66
68	69	72
63.5	64	69
67.5	70	72
66	65	71
66	63	72
61	61	65
63	65	72
61	60	67
61	60	62
66	65	70
63	61	63
66	62	67
66	62	68
68	63	69
62	62	68
66	67	70
63	62	69
66	62	72
66	65	69
69	66	70
68	65	73
64	65	74
69	67	74
65	63	70
67	64	69
66	67	67
63	62	70
61	66	66
67	64	72
67	63	71
63.5	65	71
60	64	66
67	65	68
61	59	70
63	65	64
62	64	66
67	66	71
60	62	65
64.5	65.5	66
60.5	62	67
69.5	63	74
66	64	74
65	62	67
63	60	72
68	66	74
68	62	71
65	63	71
63	65	68
62	60	67
63	66	68
71	69	72
63	63	68
63	63	66
62	64	66
63	61	67
65	67	68
65	64	73
64	58	72
68	68	72
64	63	68
61	62	67
62	60	66
66	62	71
68	66	72
65	64	68
69	65	75
65	69	72
64	68	72
64	64	70
67	62	71
68	65	67
73	68	76
