pwt 7.1 rgdpl,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,,,,,,,,,,,,,,1040.6090158,981.91738469,929.6147891,995.29890854,1059.0864719,1087.8178201,1162.7763707,1171.5213306,1204.8792476,1147.5490615,1141.5176503,1285.3743255,1424.3616226,1512.0523779,1501.2570655,1465.8901543,1510.8197731,1364.7612248,1242.8116305,1128.1376252,1089.4928419,969.84500713,902.06170231,600.90312865,431.84703807,619.04434289,570.38227083,527.19982425,490.58925938,453.97528415,427.41159801,406.17028745,614.79428917,703.85687546,696.60119982,775.73406402,799.44551245,894.20756456,894.03717506,1018.1215108,1049.3561327
Albania,,,,,,,,,,,,,,,,,,,,,2886.1777989,2930.3834716,2974.4254734,3051.5057179,3099.4906178,3156.2354304,3214.4606901,3251.6544873,3338.7930307,3402.9421922,3375.143664,3626.5867287,3613.3429832,3560.2674031,3397.5216923,3446.6436516,3616.2864921,3616.1254383,3503.7513969,3698.982311,3230.6162929,2339.245643,2295.0831974,2516.3342967,2680.7747274,2985.9016308,3231.0522388,3076.3343498,2959.3162108,3296.6981343,3416.4155775,3526.9366307,3628.6563604,4064.4126869,4559.6710265,4938.8053472,5397.9722021,5902.0533877,6606.3197824,6789.507472,6616.6311368
Algeria,,,,,,,,,,,4073.2760307,3898.5126799,2481.6482638,3015.7553203,3198.6851009,3383.3454302,3093.694762,3363.6110597,3612.4638231,3793.5630034,4050.207899,3454.1650521,4234.7295554,4189.9143501,4004.1994567,4084.1011295,4217.2594619,4409.0632307,4752.3668512,5168.9723315,4867.8901881,4764.4169949,4972.9135228,5064.6690818,5201.522502,5208.5395432,5216.7705385,5172.3744209,5016.9821842,5030.5900152,5002.3489931,4902.0013593,4840.2597336,4641.3184147,4487.2643611,4568.6675494,4730.1981126,4699.6347042,4887.762673,4964.2397023,4990.6918708,5066.0979606,5253.0065625,5552.0843277,5762.4742831,5988.778111,6003.4077298,6109.9586621,6178.5892853,6179.0461007,6260.2076956
Angola,,,,,,,,,,,,,,,,,,,,,2366.505659,2445.1334601,2390.3492845,2527.3784112,2623.6548695,2532.307726,2382.2859812,2311.7945474,2141.9546794,2095.8493386,2049.9407616,1994.5603867,1869.4785214,1904.2383265,1972.2477956,1979.5942354,1819.3521915,1920.9261843,2010.2307492,1988.8498259,1938.661169,1866.0354903,1978.6713302,1613.5164407,1736.749826,1921.7615445,2576.114343,2192.3740536,2396.1585756,2404.4821248,2331.8187469,2191.4481917,2485.7308983,2458.1573151,2598.9291038,3055.026874,3598.6463605,4465.243661,4965.3360293,5166.6961359,5108.1901714
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,4593.2118646,4886.0859709,5195.0644767,5568.941385,5772.1809337,5426.0768449,4842.9432154,5396.6282298,5400.0771088,5633.8122327,6566.3258171,6708.5690798,6661.2875811,7669.3415676,8413.6484032,9019.4046272,9742.5784277,9945.6923411,10832.253705,11534.679455,11671.670236,11705.923958,11537.386453,11939.408243,12856.565086,12602.148307,13223.107728,13328.975531,13704.416729,14264.621042,13899.350729,14118.635187,14768.15562,14217.781474,14955.639216,15007.772469,16044.352592,17671.223239,16789.6058,15211.898043,14472.069315
Argentina,5273.3495955,5479.8355226,5037.9723727,5167.0874028,5245.5019973,5534.1703567,5531.1106166,5688.5274728,5982.2042296,5560.9171227,6033.0504446,6152.0115457,6103.2823738,5779.5411715,6163.149818,6692.2294914,6607.3465526,6710.7783285,6925.3605434,7482.262662,7615.4971068,7823.1772501,7823.2318857,7933.8852667,8209.7279634,8045.2610684,7932.9612608,8382.1309324,7916.4398477,8393.2105763,8486.9682466,7875.4537277,7604.3541926,7774.2044631,7655.5993457,7008.8017271,7617.959025,7690.1920865,7533.8793918,6902.7091937,6940.7728103,7422.8909502,7845.645724,8166.9668285,8508.2665582,8328.8563556,8641.3708045,9147.6906837,9403.5338473,9054.7349922,8901.7558981,8552.1403223,7915.6655719,8441.5893181,8977.0806232,9670.7097711,10321.747302,11001.484181,11480.311874,11590.130731,12337.59335
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605.8571987,1720.5547822,1917.6624517,2029.106745,2039.3445406,2212.007553,2296.3443785,2518.3000102,2837.3029308,3185.6634693,3481.5886469,3939.8695895,4452.0563096,4969.2976359,5495.9993439,5627.7272999,5246.8050416,5411.6120268
Australia,13032.940536,13308.372152,11630.847272,12954.802306,13881.918805,14115.154121,13580.70076,13604.42241,14407.187262,14992.405125,15206.080711,14769.789874,15488.14381,16257.13075,17143.90427,17239.17598,18028.214152,18669.247208,19498.46267,20350.709701,20660.162758,20899.499927,20850.658142,21399.05786,19205.621757,19505.126904,20123.350238,20308.401468,21062.97762,21378.743552,21904.37103,22400.61799,21782.501921,22471.288135,23251.221415,24183.406356,24548.690139,25595.427825,26106.524499,26545.431719,26184.010223,26253.172852,26979.436673,27632.507337,28618.821047,29522.158539,30433.275625,31509.709753,32774.720173,33833.670761,34086.447724,34948.564063,35820.034743,36964.395624,37653.778919,38383.842182,39281.345147,40287.276406,40387.130132,40814.645672,41107.48518
Austria,6220.7411863,6627.1848513,6574.2731666,6751.5288359,7329.7267931,8085.7952327,8336.1119186,8858.2888288,9187.6821135,9445.4257474,10545.545315,11052.079309,11239.933816,11615.373273,12250.844441,12551.228231,13170.452856,13468.826295,13994.018805,14746.849078,15743.31728,16526.941769,17481.494678,18315.481874,18884.015457,18871.669093,19819.232264,20904.283073,20542.14401,22211.928673,22420.510249,22436.871392,22634.601383,23217.084871,23358.449612,24173.797372,24507.120048,24982.815732,25777.740111,26725.227004,27511.804799,27956.026641,28140.889005,28249.668955,28559.884698,29356.417733,29899.531602,30605.017532,31684.592656,32662.343422,33625.001359,33838.958103,34266.470244,34558.424204,35231.651445,36150.994517,37348.433905,38761.100366,39329.920394,37634.091423,38585.630349
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3119.1344345,2500.7484962,1811.8193419,1774.3594306,1845.587911,2021.4651889,2362.259804,2525.2621621,2772.4300938,3019.7234714,3379.2969237,3792.3837022,4659.0012808,5979.1502676,7342.4946728,8064.9395229,8831.2036059,9478.9994337
