Name,Team,Conference,2019,2020,2021
Stephen Curry,GSW,west,40231758,43006362,45780966
Chris Paul,OKC,west,38506482,41358814,44211146
Russell Westbrook,HOU,west,38178000,41006000,43848000
John Wall,WAS,east,37800000,40824000,43848000
James Harden,HOU,west,37800000,40824000,43848000
LeBron James,LAL,west,37436858,39219565,41002273
Kevin Durant,BRK,east,37199000,39058950,40918900
Kemba Walker,BOS,east,34379100,32742000,36016200
Blake Griffin,DET,east,34234964,36595996,38957028
Paul George,LAC,west,33005556,35450412,37895268
Klay Thompson,GSW,west,32742000,35361360,37980720
Jimmy Butler,MIA,east,32742000,34379100,36016200
Kawhi Leonard,LAC,west,32742000,34379100,36016200
Kyrie Irving,BRK,east,31742000,33329100,34916200
Tobias Harris,PHI,east,31034483,33517241,36000000
Khris Middleton,MIL,east,30603448,33051724,35500000
