Year,Major,Gender,Admission
1973,C,F,Rejected
1973,B,M,Accepted
1973,Other,F,Accepted
1973,Other,M,Accepted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,F,F,Accepted
1973,Other,M,Accepted
1973,Other,M,Rejected
1973,A,M,Accepted
1973,Other,F,Rejected
1973,B,M,Accepted
1973,C,M,Rejected
1973,A,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,A,M,Accepted
1973,Other,F,Accepted
1973,Other,M,Rejected
1973,F,M,Rejected
1973,Other,M,Rejected
1973,C,M,Accepted
1973,C,F,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,C,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Accepted
1973,F,F,Rejected
1973,F,M,Rejected
1973,D,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,C,F,Accepted
1973,Other,M,Rejected
1973,Other,M,Accepted
1973,A,M,Rejected
1973,Other,M,Accepted
1973,A,M,Accepted
1973,A,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Accepted
1973,Other,M,Accepted
1973,F,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Accepted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Accepted
1973,A,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Accepted
1973,C,F,Accepted
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Accepted
1973,C,F,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Accepted
1973,E,M,Rejected
1973,B,M,Rejected
1973,A,M,Rejected
1973,D,M,Accepted
1973,C,F,Rejected
1973,Other,M,Accepted
1973,C,F,Rejected
1973,C,M,Rejected
1973,F,F,Rejected
1973,Other,M,Rejected
1973,B,M,Accepted
1973,D,F,Rejected
1973,Other,M,Accepted
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Accepted
1973,Other,M,Accepted
1973,D,F,Rejected
1973,C,F,Accepted
1973,C,F,Rejected
1973,F,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Accepted
1973,Other,F,Rejected
1973,Other,M,Accepted
1973,C,M,Accepted
1973,E,F,Accepted
1973,F,F,Rejected
1973,C,F,Accepted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,D,M,Rejected
