species, area
 10,      5 
113,  25719 
 30,     44 
 17,     10 
 39,    174 
 67,  82414 
 19,      5 
 93,  17500 
 17,   2370 
 24,     29 
 18,   3626 
 17,  64500 
 22,   1125 
 13,    165 
 14,     24 
 17,  38000 
 14,    231 
 12,  31153 
 19,    399 
 15,     71  
 48,    684 
 14,   1080  
 40,   8264 
 17,    347
 37,     41 
 99,  59596 
114,  58016 
 10,     85 
 14,      3 
 36,     36 
 46,   5346 
 13,    673 
245,  28490 
 37,   9065 
214,  32893 
 50,  31500 
156, 423488 
 11,   6206 
 28,  10340 
 21,    221 
 21,   7154 
 26,  27195 
 19,   1425 
  9,     15 
 21,    212 
  7,    111 
 18,   9065 
 60,    171
 13,      1
112,  19477
 14,      1
 14,     54
 30,      1
 68,   2072
 53,   2150
 88,   4413
 22,   3302
177,  69484
  5,  18500
 74, 436000
 48,  18400
 17,      2
 13,   4650
 24,    616
 13,    406
 22,     60
 23,     98
 46,    676
  5,      8
 20,    357
