Price,Beds, Baths, SQ
558,5,3,3552
293,3,2.5,1630
314,2,2.5,2024
574,6,4.5,3367
775,5,3.5,3440
200,2,2,1104
598,5,3.5,3274
370,4,3.5,2008
270,2,2,896
350,4,2.5,1776
625,5,2.5,2400
1175,4,5,6088
825,4,2.5,2794
600,5,3.5,3282
479,3,2.5,1947
690,5,3,3589
935,5,3.5,4954
619,4,3.5,2522
490,3,3.5,2820
589,4,2.5,2548
765,6,4.5,4082
499,4,2,1467
849,6,2.5,2977
890,5,4.5,4232
497,4,3,1982
699,4,2.5,3166
709,3,2.5,3980
375,3,1.5,1408
635,3,1.5,1408
299,3,2,1454
500,3,1.5,1798
185,2,2,1191
719,4,2.5,4782
625,5,2.5,3587
199,2,2,1004
540,4,2,2469
590,4,2.5,3000
650,4,2,2463
161,1,1,720
