SP500	Dow
1988.44	17013.9
1995.69	17068.7
1997.45	17049
1985.54	16987.5
1984.13	17031.1
1998.98	17132
2001.57	17156.8
2011.36	17266
2010.4	17279.7
1994.29	17172.7
1982.77	17055.9
1998.3	17210.1
1965.99	16945.8
1982.85	17113.2
1977.8	17071.2
1972.29	17042.9
1946.16	16804.7
1964.82	16991.9
1935.1	16719.4
1968.89	16994.2
1928.21	16659.2
1906.13	16544.1
1874.74	16321.1
1856.14	16115.1
1862.49	16141.7
1862.76	16117.2
1886.76	16380.4
1904.01	16399.7
1941.28	16614.8
1927.11	16461.3
1950.82	16677.9
1964.58	16805.4
1961.63	16817.9
1985.05	17005.8
1982.3	16974.3
1994.65	17195.4
2018.05	17390.5
2017.81	17366.2
