Lot	Cut	Strength
1	Cross	0.46
1	Cross	0.67
1	Cross	0.69
1	Cross	0.73
1	Cross	0.77
1	Cross	0.78
1	Cross	0.79
1	Cross	0.80
1	Cross	0.85
1	Cross	0.89
1	Length	0.84
1	Length	0.86
1	Length	0.87
1	Length	0.88
1	Length	0.88
1	Length	0.91
1	Length	0.92
1	Length	0.93
1	Length	0.95
1	Length	1.15
2	Cross	0.84
2	Cross	0.84
2	Cross	0.86
2	Cross	0.89
2	Cross	1.03
2	Cross	1.03
2	Cross	1.06
2	Cross	1.17
2	Cross	1.18
2	Cross	1.32
2	Length	0.80
2	Length	0.85
2	Length	0.87
2	Length	0.97
2	Length	1.00
2	Length	1.01
2	Length	1.08
2	Length	1.09
2	Length	1.14
2	Length	1.16
3	Cross	0.52
3	Cross	0.52
3	Cross	0.58
3	Cross	0.59
3	Cross	0.60
3	Cross	0.63
3	Cross	0.64
3	Cross	0.65
3	Cross	0.71
3	Cross	0.80
3	Length	0.59
3	Length	0.63
3	Length	0.64
3	Length	0.64
3	Length	0.65
3	Length	0.68
3	Length	0.72
3	Length	0.75
3	Length	0.79
3	Length	0.81
4	Cross	0.81
4	Cross	0.82
4	Cross	0.86
4	Cross	0.87
4	Cross	0.88
4	Cross	0.89
4	Cross	0.90
4	Cross	0.93
4	Cross	0.97
4	Cross	1.06
4	Length	0.79
4	Length	0.79
4	Length	0.81
4	Length	0.82
4	Length	0.84
4	Length	0.86
4	Length	0.92
4	Length	0.93
4	Length	0.96
4	Length	0.98
5	Cross	0.45
5	Cross	0.47
5	Cross	0.47
5	Cross	0.52
5	Cross	0.53
5	Cross	0.54
5	Cross	0.55
5	Cross	0.56
5	Cross	0.57
5	Cross	0.60
5	Length	0.44
5	Length	0.47
5	Length	0.48
5	Length	0.49
5	Length	0.51
5	Length	0.53
5	Length	0.59
5	Length	0.61
5	Length	0.67
5	Length	0.72
