"yes","no","gender","educ"
4,2,"M",0
4,2,"F",0
2,0,"M",1
1,0,"F",1
4,0,"M",2
0,0,"F",2
6,3,"M",3
6,1,"F",3
5,5,"M",4
10,0,"F",4
13,7,"M",5
14,7,"F",5
25,9,"M",6
17,5,"F",6
27,15,"M",7
26,16,"F",7
75,49,"M",8
91,36,"F",8
29,29,"M",9
30,35,"F",9
32,45,"M",10
55,67,"F",10
36,59,"M",11
50,62,"F",11
115,245,"M",12
190,403,"F",12
31,70,"M",13
17,92,"F",13
28,79,"M",14
18,81,"F",14
9,23,"M",15
7,34,"F",15
15,110,"M",16
13,115,"F",16
3,29,"M",17
3,28,"F",17
1,28,"M",18
0,21,"F",18
2,13,"M",19
1,2,"F",19
3,20,"M",20
2,4,"F",20
